HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
THSD4-AS1	15	71147650	71189042
MTCO1P42	2	50588690	50589415
SMAD5-AS1	5	136129507	136134890
SMCP	1	152878317	152885047
CLMP	11	123069865	123195281
RPL7AP4	14	55543401	55544169
CD300LD	17	74579365	74592283
VPS26A	10	69123512	69172861
HLA-DPA2	CHR_HSCHR6_MHC_MCF_CTG1	33125197	33130739
RBM14	11	66616582	66627347
VWA5B2	3	184230429	184242329
GABBR1	CHR_HSCHR6_MHC_DBB_CTG1	29555562	29633117
OR8J1	11	56360215	56361288
GDF10	10	47300386	47313547
NRF1	7	129611714	129757082
DIP2A	21	46458899	46569852
XAGE5	X	52812204	52818301
ENSAP3	2	214697727	214698059
ZBTB48	1	6580001	6589280
KTN1-AS1	14	55499278	55580110
LINC00545	13	30882551	30883395
SEPT4-AS1	17	58519837	58556977
TAS2R10	CHR_HSCHR12_3_CTG2	10825317	10826358
COBL	7	51016212	51316818
SLC7A10	19	33208664	33225850
TTLL9	20	31870702	31944963
TTC34	1	2635976	2789755
FKBP1AP2	15	73143236	73143518
HNRNPA1P3	20	45745737	45746287
TP53TG3E	16	33303739	33306935
BEND3P2	9	92171241	92173494
NPIPA1	16	14750813	14952060
CPSF6	12	69239537	69274358
LMO7	13	75620434	75859870
NPM1P43	15	73161779	73162928
ATP5HP1	15	43267904	43268388
LINC00890	X	111511662	111522399
PDCL3P3	3	17877455	17878169
LINC00454	13	113878489	113883651
HPRT1P2	5	30248350	30248893
SMIM10L1	CHR_HSCHR12_3_CTG2	11167456	11172249
LILRA4	CHR_HSCHR19LRC_PGF2_CTG3_1	54316049	54346292
TCTE1	6	44278743	44297688
BPGM	7	134646808	134679813
TEX29	13	111316184	111344249
KIR3DL3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54724478	54736626
RBX1	22	40951347	40973309
PRKAR2B	7	107044649	107161811
WDR46	CHR_HSCHR6_MHC_DBB_CTG1	33257029	33267452
LEXM	1	54806063	54842252
ATE1-AS1	10	121928312	121951965
FMNL2	2	152335237	152649834
SYNE1	6	152121684	152637801
GABRG3	15	26971282	27541991
COL5A3	19	9959561	10010471
ROPN1	3	123968521	123992178
ZBBX	3	167240287	167381346
OR7E140P	12	8414780	8415805
S100PBP	1	32816767	32858879
HMX3	10	123135962	123137741
RAB35	12	120095095	120117502
CES2	16	66934444	66945096
ATP5EP2	13	27945206	27945590
UBE2V1P10	9	85159682	85159950
ZNF260	19	36510695	36528660
FBXO4	5	41925254	41941743
CHRNB1	17	7445061	7457707
HRAS	11	532242	537287
C15orf41	15	36579611	36810248
MGST2	4	139665768	139740745
PLGRKT	9	5357973	5437878
UFM1	13	38349849	38363619
LINC01149	CHR_HSCHR6_MHC_MANN_CTG1	31484113	31489410
TAS2R64P	CHR_HSCHR12_3_CTG2	11079729	11080651
NBR2	17	43125610	43153671
TAS2R15P	CHR_HSCHR12_3_CTG2	10964425	10965352
MT1E	16	56625475	56627112
ENPP7P12	8	12205759	12206389
RPP21	CHR_HSCHR6_MHC_APD_CTG1	30409034	30410787
ACTA1	1	229431245	229434098
FLNB-AS1	3	58162547	58170636
SRP68P3	17	20415792	20416697
LINC00670	17	12549782	12642854
IL11	19	55364389	55370463
USP32P3	17	20415547	20431008
RUVBL1-AS1	3	128075810	128079056
WBP4	13	41061274	41084006
TOPORSLP1	9	104270228	104286955
SLC12A1	15	48191664	48304078
LINC01276	6	41502444	41519852
BAK1P2	11	130546799	130547429
HNRNPA0	5	137745651	137754376
TDGF1P7	19	39534463	39535021
PDS5B	13	32586427	32778019
GSG1L2	17	9802386	9822071
DPY19L2P3	7	29650227	29742594
ANGPT1	8	107249482	107498055
IL6STP1	17	15783288	15784307
CD86	3	122055366	122121139
BSPH1	19	47968046	47992170
MKLN1	7	131110096	131496636
HRAS	CHR_HSCHR11_1_CTG8	532242	537287
E2F3	6	20401906	20493715
OR4A45P	11	48579436	48580336
STK33P1	9	85492579	85494094
DNALI1	1	37556919	37566857
GRAMD4P1	21	13665868	13667546
EAF2	3	121835183	121886526
TENM1	X	124375903	124963817
PRDX3P2	1	28526318	28527227
LUZP1	1	23084023	23177808
TRPC4	13	37636636	37870425
CNOT6	5	180494412	180578405
HMX2	10	123148122	123150672
HSPD1P2	8	7891003	7892555
OR4A41P	11	48589760	48590687
JAG2	14	105140981	105168824
ENDOG	9	128818474	128822677
NUDT19P4	6	44898711	44899295
LINC00158	21	25385820	25431701
ENOX2	X	130623369	130903317
ASPH	8	61500556	61714640
SERBP1	1	67407810	67430415
MUC16	19	8848844	8981342
IQCF6	3	51778561	51779187
SNHG3	1	28505980	28510892
SPATA31D4	9	81928514	81934948
HCN3	CHR_HSCHR1_2_CTG31	155292987	155305252
OR5M14P	4	41722538	41723512
RPEP1	5	65251127	65251784
C7orf66	7	108883975	108884587
UBE2HP1	8	81254870	81255229
FAM149B1P1	15	96756987	96758596
MRPL37P1	18	58690356	58692153
ZNF970P	12	37575587	37576384
SLC9A3P3	10	50025135	50027363
SPSB4	3	141051402	141148611
MTCYBP10	2	131369062	131369711
GIPC3	19	3585553	3593541
LINC00359	13	96941281	96984172
FAM71D	14	67189393	67228550
IGSF6	16	21639537	21652660
RGL2	6	33291654	33299324
MYOZ1	10	73631654	73641757
NFIA	1	60865259	61462793
ZNF527	19	37371061	37393066
CYB5RL	1	54172336	54200036
SLC27A5	19	58479512	58512413
PIGY	4	88521573	88521789
TULP3P1	13	96947637	96948927
SERBP1P3	3	53064283	53065091
LINC00207	22	44569339	44572341
RPS16P5	6	53336943	53337346
MIAT	22	26646428	26676475
ABHD18	4	127965306	128039711
DYNLT3	X	37836757	37847637
ZNF575	19	43525497	43536130
TMEM141	9	136791355	136793257
ANKRD26P4	13	31311289	31312921
FFAR1	19	35351552	35353862
FKBP9P1	7	55681074	55713252
TMC7	16	18983934	19063942
DDX59	1	200623896	200669969
KRTAP5-AS1	11	1571353	1599184
AP1S2	X	15825806	15855014
FGF2	4	122826708	122898236
IGLON5	19	51311848	51330354
RPS2P7	20	45640486	45641370
C18orf21	18	35972083	35979286
NCBP1	9	97633626	97673748
TRIM77BP	11	49117019	49124570
SDAD1P3	3	33771963	33772295
UBTFL9	11	49133653	49134800
CCR9	3	45886504	45903177
CD24	6	106969831	106975627
DNAJB5	9	34989641	34998900
FAM132A	1	1242446	1246722
S100A11P2	7	35169224	35169535
FTH1P21	4	156006478	156006988
LINC00907	18	42159283	42691422
SLC10A5P1	8	81634357	81635662
FNDC9	5	157341600	157345721
TMEM89	3	48620759	48621855
FBRSL1	12	132489551	132585188
POLR2LP	CHR_HSCHR6_MHC_QBL_CTG1	31133166	31133352
ISX-AS1	22	34997719	35002862
DPY19L2P1	7	35079989	35186041
LINC01389	1	47380928	47408477
SMOX	20	4120980	4187747
TPCN1	12	113221050	113298585
HMGN2P15	17	42753530	42753799
COL11A2P1	CHR_HSCHR6_MHC_MCF_CTG1	33137211	33140747
TMEM39B	1	32072031	32102866
NPBWR1	8	52938431	52941117
CNOT8	5	154857553	154876793
FAM200A	7	99546308	99558536
COX20P1	10	68632371	68632727
MTRNR2L7	10	37601440	37602974
IGLJ1	22	22893692	22893818
STARD13-AS	13	33180401	33281584
DNAJC5G	2	27275421	27281499
MAGEB17	X	16167481	16171464
EIF2AP4	10	44806443	44808223
GAGE12C	X	49532211	49539538
NYNRIN	14	24398786	24419288
TEX14	17	58556678	58692055
RAB8A	19	16111629	16134234
IGLL5	22	22887780	22896107
PMS2P5	7	74894116	74897835
POTEB2	15	20835372	20866314
ARHGAP35	19	46918676	47005077
PSORS1C3	CHR_HSCHR6_MHC_MCF_CTG1	31252275	31256445
PDE6D	2	231732425	231786272
SHROOM4	X	50591647	50814302
TEX12	11	112167372	112172559
SCN9A	2	166195185	166375993
ZNF347	19	53124072	53159075
BAHCC1	17	81395475	81466332
SERPINB3	18	63637719	63661963
OR9Q1	11	58023881	58181616
POU2AF1	11	111352252	111455630
ZBTB33	X	120250752	120258398
MTCP1	X	155061622	155147937
UTP3	4	70688479	70690551
DDX39BP1	CHR_HSCHR6_MHC_MANN_CTG1	29897284	29897650
MTSS1	8	124550790	124728429
CKAP5	11	46743048	46846308
SPANXN4	X	143025918	143034702
AFF2	X	148500619	149000663
MCCD1P1	CHR_HSCHR6_MHC_MANN_CTG1	29898524	29899386
FNDC3B	3	172039628	172401665
FFAR3	19	35358460	35360485
RFPL4AP5	8	126174186	126175014
ADORA2A	22	24417879	24442360
OR7E148P	12	8427640	8428610
TCEB3CL2	18	46962768	46964408
ITPK1-AS1	CHR_HSCHR14_7_CTG1	93067452	93072152
OR7E149P	12	8437403	8438425
ASZ1	7	117363222	117428123
OR9L1P	11	58077348	58078603
HSD11B2	16	67430652	67437553
LINC00941	12	30795681	30802711
PDCD7	15	65117379	65133836
MADD	11	47269161	47330031
HOXD11	2	176104216	176109754
SMIM6	17	75646243	75647977
NDFIP2-AS1	13	79477364	79481231
PTBP3	9	112217716	112333667
TUBB8P12	18	47390	49557
SYNDIG1	20	24469199	24666616
TMEM184B	22	38219291	38273034
MAP4K1	19	38587641	38618882
ZNF211	19	57630395	57642779
WDR1	4	10074339	10116949
CXCL1	4	73869393	73871242
TMEM97P2	8	20934435	20934837
TMEM159	16	21158377	21180616
USP8P1	CHR_HSCHR6_MHC_QBL_CTG1	31265372	31268544
MTND4P21	2	131372294	131373650
LINC01090	2	187712816	188384313
EFHD1	2	232606057	232682781
DIS3L	15	66293217	66333898
HLA-DPB2	CHR_HSCHR6_MHC_MCF_CTG1	33145868	33150636
GAPDHP19	Y	19327569	19328573
TCEB3CL	18	46968695	47029842
AQP7P3	9	65878766	65894790
OR9I2P	11	58144495	58145397
PPP1R15A	19	48872392	48876057
OR2T5	CHR_HSCHR1_ALT2_1_CTG32_1	248491033	248491980
SMLR1	6	130827406	130837135
BAZ1B	7	73440398	73522278
HSPA1L	CHR_HSCHR6_MHC_QBL_CTG1	31799855	31805300
CDH12P2	5	69985204	69985501
ZNF516	18	76358190	76495190
HLA-B	CHR_HSCHR6_MHC_MANN_CTG1	31396891	31400264
OR5BL1P	11	58171098	58171721
WASF5P	CHR_HSCHR6_MHC_QBL_CTG1	31277583	31279034
LILRA3	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352
IGLC1	22	22895375	22895834
TRIM10	6	30151945	30160934
TC2N	14	91779751	91867536
GOLGA8EP	15	23157366	23170711
FAM131A	3	184335926	184346275
OR10J4	1	159432204	159433138
THG1L	5	157731197	157741448
LINC01060	4	188400736	188681051
FTH1P16	11	77734475	77735026
SCLY	2	238060889	238099413
SIGLEC6	19	51519525	51531856
OR10J8P	1	159366161	159367089
NOTCH3	19	15159038	15200981
RSF1-IT1	11	77738680	77739568
SLC9A2	2	102619707	102711318
PFDN6	CHR_HSCHR6_MHC_MCF_CTG1	33459645	33468744
XKR7	20	31968002	32003387
RSF1-IT2	11	77717712	77718411
NDUFA8	9	122144058	122159819
OFD1P13Y	Y	25675060	25697346
FKBP6	7	73328164	73358637
OR7E53P	3	125734295	125735198
LAMA3	18	23689443	23955066
ALPP	2	232378534	232382889
MYL6BP1	2	208269343	208269957
HSPA1A	CHR_HSCHR6_MHC_QBL_CTG1	31805699	31808181
AGPAT1	CHR_HSCHR6_MHC_APD_CTG1	32235221	32245105
MDK	11	46380756	46383837
WFDC11	20	45648563	45670270
GDPGP1	15	90233808	90245811
TRIM31-AS1	CHR_HSCHR6_MHC_MANN_CTG1	30100364	30109841
RPS7P2	1	154078866	154079963
KLRC1	12	10442264	10454685
YPEL5P1	1	182182730	182183096
SERPING1	11	57597387	57614853
FSCN1P1	15	34494420	34495900
USP33	1	77695987	77759852
TTC17	11	43358932	43494933
MEX3A	1	156072013	156081998
CCL26	7	75769533	75789896
RPL12P40	18	37672689	37673176
SUPT3H	6	44809317	45377953
TAS2R46	12	11061365	11062294
SLC38A10	17	81245000	81295547
TRAPPC2P5	Y	25699451	25702562
GDF2	10	47322490	47326270
TGM6	20	2380908	2432753
LRRC27	10	132332154	132379918
TMEM123	11	102396332	102470384
ENOSF1	18	670324	712676
POMP	13	28659104	28678925
VPS33B	15	90998416	91022603
ALG1L2	3	130081831	130113227
WDR19	4	39182404	39285810
TRIM31	CHR_HSCHR6_MHC_MANN_CTG1	30098021	30108223
ADM2	22	50481556	50486440
FABP5P13	X	523775	524102
TRAF3IP1	2	238320441	238400900
TBC1D1	4	37891087	38139175
C3orf20	3	14675099	14773034
VPS35	16	46656132	46689518
CAV2	7	116287380	116508541
GKN1	2	68974573	68980974
RASL11A	13	27270327	27273690
MTNR1A	4	186533655	186555567
PLXNB3	X	153764196	153779346
CEACAM19	19	44662278	44684359
FAM231D	1	149702328	149705721
BMP8B	1	39757182	39788861
PPP1R12B	1	202348699	202592706
MTND6P13	X	102008524	102009046
ENTPD7	10	99659506	99706240
AGT	1	230702523	230714297
TNIP3	4	121131408	121227466
ERCC1	19	45407333	45478828
MT1A	16	56638666	56750276
PECR	2	215996329	216082955
SPDYA	2	28782517	28850611
OR2B3	CHR_HSCHR6_MHC_QBL_CTG1	29086195	29087300
HCG27	CHR_HSCHR6_MHC_MCF_CTG1	31276325	31282581
KRBOX4	X	46446857	46497422
TPTE2P3	13	52522632	52586906
PPIB	15	64155812	64163205
PKMYT1	16	2968024	2980539
LTA	CHR_HSCHR6_MHC_COX_CTG1	31559460	31561730
OR10H4	19	15949008	15949958
C7orf72	7	50096036	50159830
ENTPD5	14	73958010	74019399
TMCO1	1	165724293	165827755
PARP9	3	122527924	122564577
DAPK1-IT1	9	87553454	87554459
KIR3DL2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54850406	54867200
SBF2-AS1	11	9758292	9811319
CMIP	16	81445170	81711762
RSF1	11	77659996	77821017
HLA-DQB1	CHR_HSCHR6_MHC_COX_CTG1	32582490	32590101
LINC01237	CHR_HSCHR2_3_CTG15	241881363	241959696
RPL7AP7	CHR_HSCHR6_MHC_QBL_CTG1	29800376	29801172
LINC00396	13	110053285	110054952
ZSCAN16-AS1	6	28121795	28137293
RAB32	6	146543693	146554965
PPP1R9B	17	50133735	50150630
FAM135A	6	70412941	70561174
ANOS2P	Y	13751656	13915824
SLC26A4	7	107660635	107717809
GPR79	3	158841093	158841960
RPL19P11	5	31053565	31054153
SAPCD2P3	7	66556216	66557065
HNRNPDLP3	X	95610578	95610957
RAB30	11	82973133	83071923
UBL3	13	29764371	29850684
HADHB	2	26243170	26290468
IL17RE	3	9902612	9916402
TSKS	19	49739753	49763330
SYNE2	14	63852983	64226433
PNRC2	1	23959109	23963462
VN1R84P	CHR_HSCHR19_2_CTG2	21729280	21729514
C15orf40	15	82988441	83011641
LINC01265	5	38710367	38720273
MMEL1	1	2590639	2632990
FAM83C-AS1	20	35285251	35285756
ABAT	16	8674565	8784575
ZNF3	7	100064033	100082548
GPN3P1	10	25647570	25648104
HMGN2P34	10	72636497	72636765
SHPK	17	3608262	3636322
HEATR9	CHR_HSCHR17_7_CTG4	35854946	35868891
KCTD14	11	78015715	78046191
OR13F1	9	104504263	104505222
HHLA2	3	108296490	108378285
ALPI	2	232456123	232460032
VCX3A	X	6533618	6535118
ADH1A	4	99276367	99291028
OR13C3	9	104535749	104536856
DUX4L33	20	29324092	29325049
MRPS35P3	10	57982285	57982993
CHCHD1	10	73782047	73783652
OR13C4	9	104526253	104527209
ACTC1	15	34788096	34796139
FAM72C	1	143955364	143971965
ACER3	11	76860867	77026797
RANP1	CHR_HSCHR6_MHC_QBL_CTG1	30475446	30476096
HOOK3	8	42896932	43030539
RARRES2P4	4	190037916	190038399
C11orf87	11	109422120	109429114
CTSLP8	9	87844152	87847314
DCXR	17	82035136	82037732
MICG	CHR_HSCHR6_MHC_QBL_CTG1	29809741	29809872
HIRAP1	10	25691537	25692323
COQ10A	12	56266858	56270966
DBF4P1	10	64168959	64170850
VDR	12	47841537	47943048
LINC00836	10	25651712	25732935
RPL17P35	10	64620374	64620922
NSRP1	17	30115521	30186475
SH3BGRL3	1	26279176	26281522
CYP2C61P	10	64762883	64763172
NINJ1	9	93121489	93134288
NUDT10	X	51332231	51337525
C20orf85	20	58150904	58161150
PRR4	12	10845849	11171613
PIK3C2A	11	17077730	17207983
IGHD2OR15-2B	15	21015048	21015078
KIAA2013	1	11919591	11926428
OR4A42P	11	48610063	48611000
OR7E97P	3	125747084	125748098
IGHD1OR15-1B	15	21017800	21017816
SNX16	8	81799581	81842866
LINC00374	13	58211697	58233117
KIAA0125P2	15	21019388	21020851
OR10J9P	1	159405423	159406409
HOXD10	2	176108790	176119942
MTND4P13	6	153668879	153669901
SLC22A25	11	63163776	63229652
CLDN25	11	113779747	113780500
POMZP3	7	76609986	76627261
HMGB3P19	6	153938433	153938992
IGHV4-28	14	106324254	106324760
LINC01053	13	25181441	25189760
OR10J7P	1	159351093	159352026
DHFRP1	18	26170726	26171284
LINC00677	14	103120847	103123007
SLC22A9	11	63369789	63410294
ATE1	10	121740421	121928801
ACTG2	2	73892314	73919865
OR10J1	1	159439722	159440811
ZBTB24	6	109462594	109483237
IFFO1	12	6538375	6556083
PTCHD2	1	11479166	11537584
ADH1B	4	99304964	99321401
C2CD2L	11	119102198	119118544
PSMA8	18	26133852	26193355
KDM8	16	27203495	27221768
ID2	2	8678845	8684453
UBA52P7	12	115592604	115592983
OR2J1	CHR_HSCHR6_MHC_QBL_CTG1	29100937	29101875
RPL15P1	20	18090116	18090715
DCDC2B	1	32209094	32216196
CYP4F9P	19	15979835	15999020
ERBB2	17	39687914	39730426
PMS2P1	7	100320992	100341908
MTND1P33	X	143433042	143433958
MSRA	8	10054268	10428891
VPS41	7	38722963	38932394
KLK10	19	51012739	51020175
LINGO1	15	77613027	77820900
RPL7P39	12	64867956	64868699
UGP2	2	63840940	63891562
GTF2IRD1	7	74453790	74602604
LILRB5	CHR_HSCHR19_4_CTG3_1	54251016	54257914
GABRQ	X	152638183	152657534
GAPDHP62	8	100550724	100551713
AHCYL2	7	129225023	129430211
SULT6B1	2	37167820	37196598
RPS4Y2	Y	20756164	20781032
CDKN2AIPNLP2	2	26827169	26827520
CFHR2	1	196943772	196959226
LINC01079	13	27373348	27374366
RPL12P39	18	64072158	64072653
KDSR	18	63327726	63367510
NDUFC2-KCTD14	11	78016971	78079865
CXADRP1	21	13676022	13677116
FRMD4A	10	13643706	14462142
ARHGAP12	10	31805404	31928876
C15orf48	15	45430529	45448761
UNK	17	75784771	75825799
GAB3	X	154675249	154751583
PIKFYVE	2	208266267	208358751
HHATL	3	42692663	42702827
UBQLN1P1	CHR_HSCHR6_MHC_COX_CTG1	30352921	30354089
LGSN	6	63275951	63319977
SLC22A13	3	38265812	38278315
ZMAT4	8	40530590	40897833
ELK2AP	CHR_HSCHR14_3_CTG1	105673079	105674085
CELA2A	1	15456728	15472091
P4HA2	5	132191838	132295315
CSRNP1	3	39141855	39154562
PRR4	CHR_HSCHR12_3_CTG2	10845849	11167847
BEND2	X	18162931	18220883
MYO5C	15	52192322	52295798
SLC4A1AP	2	27663471	27694976
PPP2R5D	6	42984499	43012342
FLT3	13	28003274	28100592
PNP	14	20468954	20477094
LTB	6	31580525	31582522
CSAG1	X	152727484	152733735
ANKRD46	8	100509752	100559784
MAPKAPK5P1	10	108848186	108849561
CASC18	12	105704203	105744062
FAM181A	14	93918894	93929608
MBD6	12	57520710	57530148
DUSP4	8	29333064	29350668
SLC39A12	10	17951839	18043292
KIR2DS2	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54738507	54752802
OR2A42	7	144231911	144232843
ATP5A1	18	46080248	46104334
CDKL3	5	134286350	134371047
CLSTN3	12	7129698	7158945
OR7G3	19	9126012	9126950
KRT8P28	1	151949523	151950912
DDX18P5	11	130295641	130296946
PPIL4	6	149504733	149546038
PLAC8L1	5	146084386	146104369
RNF165	18	46326809	46463140
CD3D	11	118338954	118342744
ZNF816-ZNF321P	19	52928475	52962823
FAM72B	1	121167646	121185539
SEPHS1	10	13317424	13348298
ASF1B	19	14119509	14136956
WNT2B	1	112466541	112530165
RPL17P26	6	56871191	56871743
MYH11	CHR_HSCHR16_1_CTG1	15788289	15942169
XRN1	3	142306607	142448062
LINC01154	12	54428303	54429403
PROL1	4	70397882	70410194
ZNF302	19	34677639	34686397
OR9I1	11	58118500	58119444
BDH1	3	197509783	197573323
SHCBP1	16	46580554	46621626
CHKA	11	68052859	68121444
CASP1	11	105025443	105035250
OR2J3	CHR_HSCHR6_MHC_QBL_CTG1	29111883	29112818
ACTG1P10	X	53142832	53143913
GSX2	4	54099523	54102505
ZNF385A	12	54369133	54391298
SMAD1-AS2	4	145497073	145502971
LINC00577	6	104936294	104940527
TGFB2-AS1	1	218344196	218345678
TP53TG3F	16	33459045	33462249
CDC42P5	5	173085342	173086210
C1orf127	1	10946471	10982037
FOLR3	11	72114869	72139892
TRIM60P19	13	66268997	66270458
PKP1	1	201283452	201332993
OR2AS2P	CHR_HSCHR1_ALT2_1_CTG32_1	248500752	248501072
PDCD5	19	32581068	32587452
SDHCP4	11	17435672	17436181
ANP32D	12	48472665	48473624
KANTR	X	53094145	53167014
MT1CP	16	56648248	56649514
YIPF2	19	10922185	10928681
CREBRF	5	173056352	173139284
STX10	19	13144058	13150383
HLA-E	CHR_HSCHR6_MHC_MANN_CTG1	30534109	30538847
LSM5	7	32485332	32495283
CD276	15	73683966	73714518
UNC93B1	11	67991104	68004982
TRIM3	11	6448613	6474459
PTMAP5	13	81689911	81691072
GBP2	1	89106132	89150456
CLEC18A	16	69950705	69964452
PRR3	CHR_HSCHR6_MHC_MCF_CTG1	30635339	30642176
FUT3	19	5842888	5851474
UBD	CHR_HSCHR6_MHC_DBB_CTG1	29555562	29559875
MEST	7	130486171	130506296
ALMS1	2	73385758	73610793
DAO	12	108858932	108901043
KCTD8	4	44173909	44448807
PRDM13	6	99606730	99615578
ANKRD36P1	Y	26409815	26420535
YEATS4	12	69359703	69390796
IGHV3-29	14	106331116	106331552
HCG4P5	6	29942075	29943067
ACTG1	17	81509971	81523847
GJA1	6	121435692	121449727
RPL22P19	12	124935455	124935895
C11orf44	11	130672956	130717352
ZSCAN16	6	28124560	28130082
TRBV1	7	142299177	142299460
CRLF3	17	30769388	30824776
LINC00614	10	26943323	26944418
NACAP6	5	16192088	16192709
GAPDHP38	19	46558641	46559642
PCNAP1	4	99160514	99161645
RPS18P13	19	18048637	18049090
PSPC1P1	13	19201637	19227432
C4A	CHR_HSCHR6_MHC_QBL_CTG1	31972402	31993060
TPT1	13	45333471	45341370
RCBTB1	13	49531946	49585583
NFKBIL1	CHR_HSCHR6_MHC_QBL_CTG1	31537129	31549080
UQCR11	19	1597172	1605490
HSPA1B	CHR_HSCHR6_MHC_QBL_CTG1	31817974	31820498
RPL13AP	CHR_HSCHR6_MHC_DBB_CTG1	29582464	29582981
ZBTB44	11	130226677	130314686
SERPINH1P1	9	34318407	34319655
ETS2	21	38805307	38824955
CYP2D6	CHR_HSCHR22_2_CTG1	42126481	42130888
OR2H2	CHR_HSCHR6_MHC_DBB_CTG1	29587411	29588994
KIR3DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54771284	54817473
NUDT6	4	122888697	122922968
GLTP	12	109850943	109880488
ZRSR2	X	15790472	15823260
KIR3DL2	CHR_HSCHR19LRC_COX2_CTG3_1	54521328	54538122
MTFR1L	1	25818640	25832942
PHPT1	9	136848724	136851027
CFTRP2	20	29641778	29641976
MTF2	1	93079235	93139081
CDC27P3	20	29746181	29748090
DECR2	16	401826	412487
SIK2	11	111602391	111730853
MRPS10P1	1	169990067	169990196
STMN3	20	63639705	63657682
FOXP4-AS1	6	41494853	41548621
FAM138F	19	76163	77686
CHAC2	2	53767792	53775196
SETD1B	12	121804180	121832584
MLH3	14	75013764	75051532
WFDC3	20	45747944	45791932
MICC	CHR_HSCHR6_MHC_COX_CTG1	30404517	30409122
RPL36A-HNRNPH2	X	101391011	101412297
TESK1	9	35605305	35610041
RPL12P37	17	80976454	80976948
CORO7-PAM16	CHR_HSCHR16_3_CTG1	4340251	4422453
BOLA3-AS1	2	74148009	74150061
DUSP22	6	291630	351355
ZBTB7B	1	155002630	155018522
PYURF	4	88520985	88523813
EVL	14	99971449	100144236
MCCD1P2	6	29994437	29995314
CLEC6A	12	8455926	8478330
ZMAT2	5	140698680	140706676
TDRD10	1	154502219	154548147
EDC4	16	67873023	67884503
GOT2P3	12	9641723	9643011
FAM83C	20	35285731	35292401
MBL1P	10	79904898	79950336
ARFGAP3	22	42796502	42858106
ASNSD1	2	189661385	189670831
RPS3AP14	3	125795106	125795885
TCEB1P6	Y	17837201	17837528
KANSL3	2	96593170	96642787
NAMPT	7	106248285	106286326
RPL36P20	3	41955445	41955763
IMPG2	3	101222546	101320560
PLET1	11	112248479	112260860
CFAP58	10	104353764	104455090
ELOVL5	6	53267398	53349179
HCG4B	CHR_HSCHR6_MHC_MANN_CTG1	29916754	29917744
KRT18P46	2	161580072	161581350
SSX8	X	52624998	52632895
PRDX4P1	4	44944015	44944961
HLA-K	CHR_HSCHR6_MHC_MANN_CTG1	29917230	29920003
APLN	X	129645259	129654937
NDUFAF1	15	41387349	41402519
RCC1	1	28505943	28539300
PSMD8	19	38374536	38383824
CICP12	7	55798034	55798876
GAGE12D	X	49541767	49549094
TLCD2	17	1702790	1710438
PRRT2	16	29811382	29815892
SKP2	5	36151989	36184319
MYO18A	17	29073517	29180412
TRAF4	17	28743984	28750958
SFTPD-AS1	10	79968213	79973213
GLG1	16	74447427	74607144
MAPK9	5	180233143	180292099
PNMAL2	19	46486906	46496498
THRAP3P1	3	31452832	31455894
C9orf139	9	137027464	137037957
ST13P3	12	106015897	106017006
RAC1	7	6374523	6403977
CPNE8	12	38646822	38907430
MSX2P1	17	58157028	58157800
SNX15	11	65027408	65040572
DDX39BP2	6	29993209	29993605
IGHV3-30	14	106335082	106335613
SFTPD	10	79937740	79982614
ETF1P1	6	30031713	30033003
SPRYD4	12	56468567	56479707
OR4D2	17	58169656	58170579
GPR42	19	35370929	35372962
LRRC66	4	51993702	52017620
HLA-W	6	29956596	29958570
C16orf82	16	27066707	27069165
IGHVII-30-1	14	106342724	106342955
ANAPC13	3	134477706	134486716
HMGB1P37	9	121519816	121520424
MDN1	6	89642499	89819723
MAP3K8	10	30433937	30461833
TALDO1	11	747329	765024
OR2H5P	CHR_HSCHR6_MHC_DBB_CTG1	29573865	29574792
PPP5D1	19	46480796	46601200
PDZRN4	12	41188448	41574590
HCP5B	6	29871895	29873783
TBC1D3E	17	38005561	38138862
HNMT	2	137964020	138016364
HCG9	6	29975112	29978410
SUMO2	17	75165586	75182983
MATN2	8	97868840	98036716
UBAP1	9	34179005	34252523
ZNF446	19	58474017	58481230
GPR75-ASB3	2	53670293	53860160
CDKL1	14	50329404	50416461
NLGN3	X	71144831	71171201
SRGAP2D	1	143975087	144068350
FBXO46	19	45710629	45730904
MYOM3	1	24056035	24112175
TGFBR2	3	30606502	30694142
POU5F1	CHR_HSCHR6_MHC_MCF_CTG1	31242859	31249234
UNC93B7	4	9493736	9498066
KLHL40	3	42685519	42692544
IGHV3-30-2	14	106344395	106344833
NPDC1	9	137039470	137046203
EEF1A1P16	12	16990670	16992083
TCAP	17	39664187	39666555
TCEB1P13	Y	18440797	18441125
RPL7P40	12	17121716	17122460
MCPH1-AS1	8	6618475	6708209
TCEB1P24	X	155978992	155979325
HLA-T	6	29896654	29897786
FMR1-AS1	X	147909431	147911817
MTND2P11	9	109300186	109301172
POU3F2	6	98834592	98839490
SBF2	11	9778667	10294207
MARS	12	57475445	57517569
IGHA1	CHR_HSCHR14_3_CTG1	105707889	105709436
KLHL30-AS1	2	238152889	238155994
